date,closing_price,volume,log_volume
01-01-2025,0,5000,8.517393
02-01-2025,131.04,2000,7.601402
03-01-2025,138.26,2000,7.601402
04-01-2025,164.68,0,0.000000
05-01-2025,165.06,5000,8.517393
06-01-2025,137.99,1500,7.313887
07-01-2025,151,5000,8.517393
08-01-2025,0,1500,7.313887
09-01-2025,190.09,1500,7.313887
10-01-2025,135.16,1000,6.908755
11-01-2025,146.99,5000,8.517393
12-01-2025,120.55,2000,7.601402
13-01-2025,168.97,0,0.000000
14-01-2025,149.75,1500,7.313887
15-01-2025,0,1000,6.908755
16-01-2025,180.33,5000,8.517393
17-01-2025,162.83,1000,6.908755
18-01-2025,147.76,1500,7.313887
19-01-2025,164.34,5000,8.517393
20-01-2025,122.91,0,0.000000
21-01-2025,101.11,2000,7.601402
22-01-2025,0,0,0.000000
23-01-2025,156.71,1000,6.908755
24-01-2025,191.67,1000,6.908755
25-01-2025,167.01,2000,7.601402
26-01-2025,193.82,1500,7.313887
27-01-2025,116.65,2000,7.601402
28-01-2025,145.41,2000,7.601402
29-01-2025,0,2000,7.601402
30-01-2025,123.02,1500,7.313887
