date,closing_price,volume,return_1d,return_7d
01-01-2025,0.0,5000,0.000000,0.000000
02-01-2025,131.04,2000,0.000000,0.000000
03-01-2025,138.26,2000,0.055098,0.000000
04-01-2025,164.68,0,0.191089,0.000000
05-01-2025,165.06,5000,0.002308,0.000000
06-01-2025,137.99,1500,-0.164001,0.000000
07-01-2025,151.0,5000,0.094282,0.000000
08-01-2025,0.0,1500,-1.000000,0.000000
09-01-2025,190.09,1500,0.000000,0.450626
10-01-2025,135.16,1000,-0.288968,-0.022422
11-01-2025,146.99,5000,0.087526,-0.107420
12-01-2025,120.55,2000,-0.179876,-0.269660
13-01-2025,168.97,0,0.401659,0.224509
14-01-2025,149.75,1500,-0.113748,-0.008278
15-01-2025,0.0,1000,-1.000000,0.000000
16-01-2025,180.33,5000,0.000000,-0.051344
17-01-2025,162.83,1000,-0.097044,0.204720
18-01-2025,147.76,1500,-0.092551,0.005238
19-01-2025,164.34,5000,0.112209,0.363252
20-01-2025,122.91,0,-0.252099,-0.272593
21-01-2025,101.11,2000,-0.177366,-0.324808
22-01-2025,0.0,0,-1.000000,0.000000
23-01-2025,156.71,1000,0.000000,-0.130982
24-01-2025,191.67,1000,0.223087,0.177117
25-01-2025,167.01,2000,-0.128659,0.130279
26-01-2025,193.82,1500,0.160529,0.179384
27-01-2025,116.65,2000,-0.398153,-0.050932
28-01-2025,145.41,2000,0.246550,0.438137
29-01-2025,0.0,2000,-1.000000,0.000000
30-01-2025,123.02,1500,0.000000,-0.214983
